230,124
176,132
203,132
192,132
222,130
178,123
194,131
194,127
211,128
219,123
185,123
187,126
211,125
214,131
206,132
198,132
183,123
233,123
198,129
222,124
214,130
226,123
206,128
201,123
191,132
230,130
194,124
207,124
214,124
182,125
202,130
231,127
208,127
206,126
198,126
222,131
211,129
208,126
182,127
198,124
214,127
176,123
182,129
230,130
209,128
211,127
202,130
214,123
198,124
202,129
230,131
222,127
230,125
194,123
198,129
177,132
193,123
185,127
215,128
219,123
203,126
230,123
227,124
174,128
214,125
206,127
211,129
234,127
215,128
217,125
230,125
211,130
230,124
194,129
223,132
206,124
182,123
184,123
211,128
174,127
233,123
211,129
215,127
214,132
198,128
225,123
184,123
182,132
182,124
201,127
222,128
231,123
206,130
202,127
194,131
230,130
174,124
182,129
206,129
230,127
222,130
214,126
222,125
206,124
234,123
198,132
222,130
211,123
174,131
214,132
233,127
230,131
182,127
193,132
230,132
211,126
194,128
223,123
211,132
201,123
206,123
174,126
193,132
224,132
217,130
215,128
209,128
230,123
230,126
182,128
202,129
194,126
232,127
198,123
230,129
194,123
190,130
182,132
210,131
190,131
183,127
187,126
202,130
214,129
194,125
226,132
194,123
198,130
217,130
214,129
194,124
214,130
194,128
177,123
186,123
207,125
225,132
206,125
178,132
186,123
222,124
219,132
182,130
230,128
182,124
174,124
203,132
216,126
187,125
176,123
174,129
211,131
206,129
218,124
227,131
198,127
232,127
191,132
186,123
174,130
206,124
202,123
230,124
198,124
222,131
175,123
222,125
202,129
214,124
235,123
198,126
201,128
182,126
193,132
214,126
211,131
230,125
175,132
230,132
198,131
231,127
195,123
194,125
198,125
199,123
214,123
200,123
219,132
206,128
230,127
203,124
198,126
177,123
218,131
233,127
198,123
223,132
235,123
198,129
222,129
179,124
210,130
200,127
203,125
179,131
223,132
211,124
222,127
203,131
194,126
211,123
222,126
182,126
190,131
194,127
217,125
234,123
206,130
176,132
174,130
186,127
198,132
211,127
202,123
217,130
230,131
232,123
222,131
214,123
222,128
182,124
194,129
182,129
187,126
210,131
182,131
206,129
211,130
209,128
224,123
206,123
214,130
175,132
187,124
176,132
174,131
182,131
195,123
206,127
211,132
225,123
185,123
224,123
184,123
231,127
222,129
194,131
206,131
182,125
201,127
214,124
199,127
198,128
209,129
182,126
218,131
199,127
198,125
203,132
226,132
217,125
207,124
174,129
234,127
201,123
226,123
177,132
230,129
192,132
231,123
194,127
184,127
192,132
177,123
214,126
174,128
190,130
216,129
194,130
194,128
232,123
174,125
214,128
190,131
182,131
222,128
182,132
207,125
